assessment_id,scenario_id,repeat,gold_severity,root_cause_reference,action_reference
23F01D7FFDCD,C01,1,ok,No incident is present in the supplied telemetry.,Continue routine monitoring; do not invent remediation.
35D4F306057E,C01,2,ok,No incident is present in the supplied telemetry.,Continue routine monitoring; do not invent remediation.
8AA2B880ECD8,C01,3,ok,No incident is present in the supplied telemetry.,Continue routine monitoring; do not invent remediation.
39E2F2A742B6,C02,1,ok,No incident is present; absent optional integrations are not faults.,Continue routine monitoring without requesting installation of absent integrations.
AB080B1CC6B9,C02,2,ok,No incident is present; absent optional integrations are not faults.,Continue routine monitoring without requesting installation of absent integrations.
D5A5D8F5A5E0,C02,3,ok,No incident is present; absent optional integrations are not faults.,Continue routine monitoring without requesting installation of absent integrations.
83A3A2C4C2F6,C03,1,ok,No abnormal condition is evidenced.,Continue routine monitoring.
82F5F72F97D7,C03,2,ok,No abnormal condition is evidenced.,Continue routine monitoring.
984851DBBE91,C03,3,ok,No abnormal condition is evidenced.,Continue routine monitoring.
51428584C221,C04,1,warning,Sustained CPU saturation is degrading response latency without an outage.,"Inspect workload and process utilisation, capacity, and recent changes."
AD94D2A49E95,C04,2,warning,Sustained CPU saturation is degrading response latency without an outage.,"Inspect workload and process utilisation, capacity, and recent changes."
B34FB3784882,C04,3,warning,Sustained CPU saturation is degrading response latency without an outage.,"Inspect workload and process utilisation, capacity, and recent changes."
E135D7314BF8,C05,1,warning,Memory pressure and swap growth exist without an OOM failure.,"Inspect top memory consumers, leaks, working-set growth, and capacity."
E64D87F3AF05,C05,2,warning,Memory pressure and swap growth exist without an OOM failure.,"Inspect top memory consumers, leaks, working-set growth, and capacity."
2FA523CB2AE1,C05,3,warning,Memory pressure and swap growth exist without an OOM failure.,"Inspect top memory consumers, leaks, working-set growth, and capacity."
B70427A50F37,C06,1,warning,Free disk space is becoming constrained but writes still succeed.,"Identify growth, rotate or remove safe data, and expand storage if needed."
FF884B4A27C7,C06,2,warning,Free disk space is becoming constrained but writes still succeed.,"Identify growth, rotate or remove safe data, and expand storage if needed."
8A061370B2C5,C06,3,warning,Free disk space is becoming constrained but writes still succeed.,"Identify growth, rotate or remove safe data, and expand storage if needed."
3F1E1C8FB82A,C07,1,warning,The service is available but response latency has degraded.,"Inspect dependency latency, resource saturation, traces, and recent changes."
9E97167CCE80,C07,2,warning,The service is available but response latency has degraded.,"Inspect dependency latency, resource saturation, traces, and recent changes."
D7985224102E,C07,3,warning,The service is available but response latency has degraded.,"Inspect dependency latency, resource saturation, traces, and recent changes."
ADD3B2949725,C08,1,warning,Monitoring data freshness is impaired; the application itself is not shown to be down.,Inspect Prometheus scraping and ingestion while continuing application checks.
4CBC1A64CB97,C08,2,warning,Monitoring data freshness is impaired; the application itself is not shown to be down.,Inspect Prometheus scraping and ingestion while continuing application checks.
A0EAB3461B48,C08,3,warning,Monitoring data freshness is impaired; the application itself is not shown to be down.,Inspect Prometheus scraping and ingestion while continuing application checks.
8CC37551A27A,C09,1,high,An active API failure is corroborated by 503 probes and application 5xx logs.,"Inspect application logs, dependency health, recent deployments, and restore service."
D2484DBCCAFA,C09,2,high,An active API failure is corroborated by 503 probes and application 5xx logs.,"Inspect application logs, dependency health, recent deployments, and restore service."
CAB9D0A4A223,C09,3,high,An active API failure is corroborated by 503 probes and application 5xx logs.,"Inspect application logs, dependency health, recent deployments, and restore service."
AE6D613F57C6,C10,1,high,The service is unavailable because no listener accepts the repeated connection attempts.,"Verify the process, listener, bind address, firewall, and network path."
8C1E06FA80CE,C10,2,high,The service is unavailable because no listener accepts the repeated connection attempts.,"Verify the process, listener, bind address, firewall, and network path."
