assessment_id,question,provided_sources,answer,correctness_score_0_2,grounding_score_0_2,assessor_notes
99966488E017,Disk usage is above 90%. What should be checked first?,infrastructure/disk-space-high.md; infrastructure/load-average-high.md; infrastructure/memory-pressure.md; infrastructure/cpu-saturation.md,"First checks that should be performed include running `df -h` and identifying the affected mount. Then, run `df -i` to rule out inode exhaustion. Inspect the largest directory using `sudo du -xhd1 /var | sort -h`. Finally, measure images, build cache, and volumes using `docker system df`.",,,
CA00C6AC66AF,Disk usage is above 90%. What should be checked first?,infrastructure/disk-space-high.md; infrastructure/load-average-high.md; infrastructure/memory-pressure.md; infrastructure/cpu-saturation.md,"First checks that should be performed include running `df -h` and identifying the affected mount. Then, run `df -i` to rule out inode exhaustion. Additionally, use `sudo du -xhd1 /var | sort -h` to inspect the largest directories. Finally, run `docker system df` to measure images, build cache, and volumes.",,,
6CE5BD0129AE,Disk usage is above 90%. What should be checked first?,infrastructure/disk-space-high.md; infrastructure/load-average-high.md; infrastructure/memory-pressure.md; infrastructure/cpu-saturation.md,"First checks that should be performed include running `df -h` and identifying the affected mount. Then, run `df -i` to rule out inode exhaustion. Additionally, use `sudo du -xhd1 /var | sort -h` to inspect the largest directories. Finally, run `docker system df` to measure images, build cache, and volumes.",,,
A0D1015352B7,Disk usage is above 90%. What should be checked first?,,"Firstly, check the disk usage logs or monitoring tools to confirm the current percentage. Then, review the most used directories or files that are consuming space. Consider running a disk cleanup or defragmentation tool if available for your system. Additionally, examine recent file operations and identify any large files or folders that might be taking up space.",,,
AAAF68C50863,Disk usage is above 90%. What should be checked first?,,"First, check the disk usage logs or monitoring tools to identify which directories are consuming the most space. Then, review these directories for unnecessary files or large files that can be deleted or moved. Consider running a cleanup script if applicable and ensure regular backups are in place before making changes. If unsure about specific actions, consult your organization's IT policies or seek guidance from an experienced team member.",,,
CF5ADB72FCC1,Disk usage is above 90%. What should be checked first?,,"First, check the disk usage logs or monitoring tools to identify which directories are consuming the most space. Then, review these directories for unnecessary files or large files that can be deleted or moved. Consider running a cleanup script if applicable and ensure regular backups are in place before making changes. If unsure about specific actions, consult your organization's IT policies or seek guidance from an experienced team member.",,,
8C916B6A247A,The host is swapping and memory is nearly exhausted. What are the safe first steps?,infrastructure/memory-pressure.md; infrastructure/cpu-saturation.md; infrastructure/load-average-high.md; infrastructure/disk-space-high.md,"The safe first steps for a scenario where the host is swapping and memory is nearly exhausted would be:

1. Run `free -h` to check available memory and swap usage.
2. Use `ps -eo pid,comm,rss,%mem --sort=-rss | head` to identify processes consuming high amounts of memory.
3. Run `docker stats --no-stream` to find out which containers are using significant resources.

After identifying the problematic processes or containers, proceed with reducing workloads by stopping non-essential services or applications before restarting any leaking containers if necessary. Capture logs and memory figures before taking these actions.",,,
39FEC05DE03D,The host is swapping and memory is nearly exhausted. What are the safe first steps?,infrastructure/memory-pressure.md; infrastructure/cpu-saturation.md; infrastructure/load-average-high.md; infrastructure/disk-space-high.md,"The safe first steps in this scenario would be:

1. Run `free -h` to check available memory and swap usage.
2. Identify containers whose memory is growing using `docker stats --no-stream`.
3. Check recent kernel messages for OOM events with `journalctl -k --since ""30 minutes ago"" | grep -i -E ""oom|out of memory|killed process""`.

These steps help in understanding the current state and pinpointing which containers might be contributing to the issue, allowing for targeted remediation.",,,
5D050A5471CD,The host is swapping and memory is nearly exhausted. What are the safe first steps?,infrastructure/memory-pressure.md; infrastructure/cpu-saturation.md; infrastructure/load-average-high.md; infrastructure/disk-space-high.md,"The safe first steps in this scenario would be:

1. Run `free -h` to check available memory and swap usage.
2. Identify containers whose memory is growing using `docker stats --no-stream`.
3. Check recent kernel messages for OOM events with `journalctl -k --since ""30 minutes ago"" | grep -i -E ""oom|out of memory|killed process""`.

These steps help in understanding the current state and pinpointing which containers might be contributing to the issue, allowing for targeted remediation.",,,
8FC9E2D2B242,The host is swapping and memory is nearly exhausted. What are the safe first steps?,,"The safe first step would be to identify which processes are consuming the most memory. You can use tools like `top`, `htop`, or `free -m` on Linux systems, or Task Manager in Windows to monitor process usage.

Once identified, you should prioritize shutting down or terminating unnecessary services and applications that are not critical for immediate operations. 

Next, consider restarting the host if possible, as this can sometimes free up memory by clearing out background processes.

If the issue persists, allocate more physical RAM if feasible, or look into upgrading to a machine with higher memory capacity.

Always ensure you have backups of important data and logs before making significant changes that could affect ongoing operations.",,,
5B6019604278,The host is swapping and memory is nearly exhausted. What are the safe first steps?,,"The safe first step would be to identify which processes are consuming the most memory. You can use tools like `top`, `htop`, or `free -m` on Linux systems, or Task Manager in Windows to monitor process usage.

Once identified, you should prioritize shutting down or terminating unnecessary services and applications that are not critical for immediate operations. 

Next, consider restarting the host if possible, as this can sometimes free up memory by clearing out background processes.

If the issue persists, allocate more physical RAM if feasible, or look into upgrading to a machine with higher memory capacity.

Always ensure you have backups of important data and logs before making significant changes that could affect ongoing operations.",,,
D2DC190DE08A,The host is swapping and memory is nearly exhausted. What are the safe first steps?,,"The safe first step would be to identify which processes are consuming the most memory. You can use tools like `top`, `htop`, or `free -m` on Linux systems, or Task Manager in Windows to monitor process usage.

Once identified, you should prioritize shutting down or terminating unnecessary services and applications that are not critical for immediate operations. 

Next, consider restarting the host if possible, as this can sometimes free up memory by clearing out background processes.

If the issue persists, allocate more physical RAM if feasible, or look into upgrading to a machine with higher memory capacity.

Always ensure you have backups of important data and logs before making significant changes that could affect ongoing operations.",,,
E2DB458E7084,Loki has stopped receiving logs. How should ingestion be isolated?,observability/loki-ingestion-gap.md; infrastructure/memory-pressure.md; containers/container-restart-loop.md; infrastructure/disk-space-high.md,"To isolate ingestion, follow these steps based on the provided runbook:

1. **Query Loki for a broad recent window**: Use this to check if there are any recent log queries that return empty results.
2. **Query Loki for a known container label**: This can help identify which specific logs might be missing or not being ingested correctly.
3. **Check the latest timestamp returned**: Verify if it matches with other systems (like applications producing logs) and distinguish between an ingestion gap and a quiet application.
4. **Inspect Loki and log collector (Alloy or Promtail) container logs**: Look for any errors or issues that might be preventing logs from being ingested.
5. **Confirm the collector can read Docker logs and reach Loki on the shared network**: Ensure there are no connectivity issues between the log collector and Loki.

By following these steps, you should be able to identify where ingestion is failing and take appropriate remediation actions.",,,
35EC1850C9F6,Loki has stopped receiving logs. How should ingestion be isolated?,observability/loki-ingestion-gap.md; infrastructure/memory-pressure.md; containers/container-restart-loop.md; infrastructure/disk-space-high.md,"To isolate ingestion, follow these steps based on the provided runbook:

1. **Query Loki for a broad recent window**: Use `curl` or any other method to query Loki for logs within a specific time range (e.g., last 24 hours) using its API.
   ```sh
   curl -X POST http://loki:3100/api/v1/query_range \
       -H ""Content-Type: application/json"" \
       --data '{""query"":""count(*)"",""start"":now()-86400,""end"":now(),""step"":1}'
   ```

2. **Query Loki for a known container label**: Use the same query method to check logs from a specific container by specifying its label.
   ```sh
   curl -X POST http://loki:3100/api/v1/query_range \
       -H ""Content-Type: application/json"" \
       --data '{""query"":""count(*)"",""start"":now()-86400,""end"":now(),""step"":1}' \
       --data 'labels={""container_label"":""specific_container""}'
   ```

3. **Check the latest timestamp returned**: Ensure that logs are being ingested by checking if there is a significant difference in timestamps between queries.

4. **Inspect Loki and log collector (Alloy or Promtail) container logs**:
   - Check the logs of the Loki service to see if it's receiving data.
   - Inspect the logs of Alloy or Promtail containers to ensure they are correctly reading Docker logs and sending them to Loki.

5. **Confirm the collector can read Docker logs and reach Loki on the shared network**: Verify that both the log collector (Alloy/Promtail) and Loki services have access to the correct network paths for communication.

By following these steps, you can identify whether the issue lies with the ingestion process itself or if there is a misconfiguration in how data is being sent from Docker containers to Loki.",,,
0D53B196F234,Loki has stopped receiving logs. How should ingestion be isolated?,observability/loki-ingestion-gap.md; infrastructure/memory-pressure.md; containers/container-restart-loop.md; infrastructure/disk-space-high.md,"To isolate ingestion, follow these steps based on the provided runbook:

1. **Query Loki for a broad recent window**: Use `curl` or any other method to query Loki for logs within a specific time range (e.g., last 24 hours) using its API.
   ```sh
   curl -X POST http://loki:3100/api/v1/query_range \
       -H ""Content-Type: application/json"" \
       --data '{""query"":""count(*)"",""start"":now()-86400,""end"":now(),""step"":1}'
   ```

2. **Query Loki for a known container label**: Use the same query method to check logs from a specific container by specifying its label.
   ```sh
   curl -X POST http://loki:3100/api/v1/query_range \
       -H ""Content-Type: application/json"" \
       --data '{""query"":""count(*)"",""start"":now()-86400,""end"":now(),""step"":1}' \
       --data 'labels={""container_label"":""specific_container""}'
   ```

3. **Check the latest timestamp returned**: Ensure that logs are being ingested by checking if there is a significant difference in timestamps between queries.

4. **Inspect Loki and log collector (Alloy or Promtail) container logs**:
   - Check the logs of the Loki service to see if it's receiving data.
   - Inspect the logs of Alloy or Promtail containers to ensure they are correctly reading Docker logs and sending them to Loki.

5. **Confirm the collector can read Docker logs and reach Loki on the shared network**: Verify that both the log collector (Alloy/Promtail) and Loki services have access to the correct network paths for communication.

By following these steps, you can identify whether the issue lies with the ingestion process itself or if there is a misconfiguration in how data is being sent from Docker containers to Loki.",,,
D082165943A7,Loki has stopped receiving logs. How should ingestion be isolated?,,"To isolate the issue of Loki stopping receiving logs, you can start by checking the following steps:

1. Verify that all log sources are correctly configured to send data to Loki.
2. Check if there are any errors in the Loki service logs (usually available via Prometheus UI or directly from the service).
3. Ensure that the Loki pod is running and healthy by examining its status through Kubernetes dashboard or command line tools like `kubectl`.
4. Confirm network connectivity between log sources and Loki, as well as within the cluster.
5. Review any recent changes in configurations or updates to ensure they did not inadvertently affect logging.

If issues persist, consider isolating the ingestion process temporarily to identify which specific part of the pipeline might be failing.",,,
203158417188,Loki has stopped receiving logs. How should ingestion be isolated?,,"To isolate the issue of Loki stopping receiving logs, you can start by checking the following steps:

1. Verify that all log sources are correctly configured to send data to Loki.
2. Check if there are any errors in the Loki service logs (usually available via Prometheus UI or directly from the service).
3. Ensure that the Loki pod is running and healthy by examining its status through Kubernetes dashboard or command line tools like `kubectl`.
4. Confirm network connectivity between log sources and Loki, as well as within the cluster.
5. Review any recent changes in configurations or updates to ensure they did not inadvertently affect logging.

If issues persist, consider isolating the ingestion process temporarily to identify which specific part of the pipeline might be failing.",,,
60044E911E15,Loki has stopped receiving logs. How should ingestion be isolated?,,"To isolate the issue of Loki stopping receiving logs, you can start by checking the following steps:

1. Verify that all log sources are correctly configured to send data to Loki.
2. Check if there are any errors in the Loki service logs (usually available via Prometheus UI or directly from the service).
3. Ensure that the Loki pod is running and healthy by examining its status through Kubernetes dashboard or command line tools like `kubectl`.
4. Confirm network connectivity between log sources and Loki, as well as within the cluster.
5. Review any recent changes in configurations or updates to ensure they did not inadvertently affect logging.

If issues persist, consider isolating the ingestion process temporarily to identify which specific part of the pipeline might be failing.",,,
DF8282F41722,HTTP 5xx responses spiked after normal operation. What evidence should be correlated?,application/http-5xx-spike.md; security/http-brute-force.md; application/api-latency-high.md; infrastructure/network-latency.md,"For an HTTP 5xx response spike, evidence from recent deployments and configuration changes should be correlated with the timing of the spike to identify potential causes. Specifically:

- Review logs for any new or changed application code deployed around the time of the spike.
- Check if there were any recent updates to database configurations, Redis settings, or external API dependencies that could have introduced issues.
- Examine system metrics and logs from the affected environment (e.g., CPU usage, memory consumption) during and before the spike occurred.

By correlating these elements, it can help pinpoint whether a change in configuration or deployment was responsible for the increase in 5xx responses.",,,
F976BE77EF53,HTTP 5xx responses spiked after normal operation. What evidence should be correlated?,application/http-5xx-spike.md; security/http-brute-force.md; application/api-latency-high.md; infrastructure/network-latency.md,"For an HTTP 5xx response spike, evidence should be correlated by grouping recent errors by status code (HTTP 5xx), route, and exception rather than reading isolated lines. This approach helps identify patterns and specific issues contributing to the spike in server-error responses.",,,
30E01C442E6C,HTTP 5xx responses spiked after normal operation. What evidence should be correlated?,application/http-5xx-spike.md; security/http-brute-force.md; application/api-latency-high.md; infrastructure/network-latency.md,"For an HTTP 5xx response spike, evidence should be correlated by grouping recent errors by status code (HTTP 5xx), route, and exception rather than reading isolated lines. This approach helps identify patterns and specific issues contributing to the spike in server-error responses.",,,
