assessment_id,question_id,condition,repeat,frozen_relevant_runbook
99966488E017,R01,rag,1,infrastructure/disk-space-high.md
CA00C6AC66AF,R01,rag,2,infrastructure/disk-space-high.md
6CE5BD0129AE,R01,rag,3,infrastructure/disk-space-high.md
A0D1015352B7,R01,no_rag,1,infrastructure/disk-space-high.md
AAAF68C50863,R01,no_rag,2,infrastructure/disk-space-high.md
CF5ADB72FCC1,R01,no_rag,3,infrastructure/disk-space-high.md
8C916B6A247A,R02,rag,1,infrastructure/memory-pressure.md
39FEC05DE03D,R02,rag,2,infrastructure/memory-pressure.md
5D050A5471CD,R02,rag,3,infrastructure/memory-pressure.md
8FC9E2D2B242,R02,no_rag,1,infrastructure/memory-pressure.md
5B6019604278,R02,no_rag,2,infrastructure/memory-pressure.md
D2DC190DE08A,R02,no_rag,3,infrastructure/memory-pressure.md
E2DB458E7084,R03,rag,1,observability/loki-ingestion-gap.md
35EC1850C9F6,R03,rag,2,observability/loki-ingestion-gap.md
0D53B196F234,R03,rag,3,observability/loki-ingestion-gap.md
D082165943A7,R03,no_rag,1,observability/loki-ingestion-gap.md
203158417188,R03,no_rag,2,observability/loki-ingestion-gap.md
60044E911E15,R03,no_rag,3,observability/loki-ingestion-gap.md
DF8282F41722,R04,rag,1,application/http-5xx-spike.md
F976BE77EF53,R04,rag,2,application/http-5xx-spike.md
30E01C442E6C,R04,rag,3,application/http-5xx-spike.md
8A6E74D93EE1,R04,no_rag,1,application/http-5xx-spike.md
770F9F8D9060,R04,no_rag,2,application/http-5xx-spike.md
7DE7BB791DEB,R04,no_rag,3,application/http-5xx-spike.md
910EA1E83878,R05,rag,1,containers/container-restart-loop.md
793FFF57FC0C,R05,rag,2,containers/container-restart-loop.md
55DFC0F7FE6C,R05,rag,3,containers/container-restart-loop.md
34BA6DD3E688,R05,no_rag,1,containers/container-restart-loop.md
C72851FA00D8,R05,no_rag,2,containers/container-restart-loop.md
A89538CB70C1,R05,no_rag,3,containers/container-restart-loop.md
C5501081460B,R06,rag,1,observability/prometheus-target-down.md
1A61C260C31F,R06,rag,2,observability/prometheus-target-down.md
267BA387662A,R06,rag,3,observability/prometheus-target-down.md
90B749F66B07,R06,no_rag,1,observability/prometheus-target-down.md
7ADC15011508,R06,no_rag,2,observability/prometheus-target-down.md
E90C8A2525C4,R06,no_rag,3,observability/prometheus-target-down.md
FD042E805197,R07,rag,1,application/api-latency-high.md
EC4E268FAF81,R07,rag,2,application/api-latency-high.md
1AB1EFEBD550,R07,rag,3,application/api-latency-high.md
5F4A6A51BCC2,R07,no_rag,1,application/api-latency-high.md
0010A820B28D,R07,no_rag,2,application/api-latency-high.md
84D88A9A03E7,R07,no_rag,3,application/api-latency-high.md
B6483714AA97,R08,rag,1,application/redis-unavailable.md
11B5894AB796,R08,rag,2,application/redis-unavailable.md
793A195C9CAB,R08,rag,3,application/redis-unavailable.md
8D15E9D80D06,R08,no_rag,1,application/redis-unavailable.md
D7201439CD55,R08,no_rag,2,application/redis-unavailable.md
C3E0E84CB21B,R08,no_rag,3,application/redis-unavailable.md
7430D539AED9,R09,rag,1,application/database-connection-exhaustion.md
220496E67C1E,R09,rag,2,application/database-connection-exhaustion.md
C900C60AFB7B,R09,rag,3,application/database-connection-exhaustion.md
DB8D637D324F,R09,no_rag,1,application/database-connection-exhaustion.md
7AADF3E2C473,R09,no_rag,2,application/database-connection-exhaustion.md
540BCF0402DE,R09,no_rag,3,application/database-connection-exhaustion.md
1F1552ED5A60,R10,rag,1,infrastructure/dns-resolution-failure.md
157AF23EDB7D,R10,rag,2,infrastructure/dns-resolution-failure.md
234531C6D78E,R10,rag,3,infrastructure/dns-resolution-failure.md
A31886A48E28,R10,no_rag,1,infrastructure/dns-resolution-failure.md
91094499BA73,R10,no_rag,2,infrastructure/dns-resolution-failure.md
AE3B5865E210,R10,no_rag,3,infrastructure/dns-resolution-failure.md
5AA7FB97DC3B,R11,rag,1,security/ssh-brute-force.md
769B853D2567,R11,rag,2,security/ssh-brute-force.md
DFADE2B7724B,R11,rag,3,security/ssh-brute-force.md
1E67D52BE09A,R11,no_rag,1,security/ssh-brute-force.md
EA2157C651DF,R11,no_rag,2,security/ssh-brute-force.md
022CD7DA8BF8,R11,no_rag,3,security/ssh-brute-force.md
CC40A8C97E1F,R12,rag,1,containers/deployment-regression.md
07B43F84DD54,R12,rag,2,containers/deployment-regression.md
DAE399257E65,R12,rag,3,containers/deployment-regression.md
AE3A135D5631,R12,no_rag,1,containers/deployment-regression.md
DCA1CC83082B,R12,no_rag,2,containers/deployment-regression.md
79E808FC229D,R12,no_rag,3,containers/deployment-regression.md
